Displayed Name,First Name,Last Name,Role,Time,Group,Personal Statement / Summary (optional)
Joanne Edgar,Joanne,Edgar,Production Advisor,Alumni,Advisory Board,"Advisory Board from 1981-1988 and Associate Editor (Circulation) for Vol 21.2 Theory and Reality in International Relations and Vol 21.1 Image and Reality in World Politics
Editorial Assistant for Vol 20.2 Political Development in Latin America and Vol 20.1 East Central Europe"
Lauren J. Kelley,Lauren J.,Kelley,Production Advisor,Alumni,Advisory Board,Advisory Board from 1984-1988 and Editor-in-Chief for Vol 38.1 Perspectives on Global Debt and Vol 37.2 The Politics of International Law
