Slug,New node,Executive Board,Section Editors,Editorial Board
/content/americas,Credits Vol 14.2,"Editor-in-Chief - Edward D. Greathed
Associate Editor - Ramon H. Hulsey
Business Manager - Frank T. Yorichika","Production Mапager - Wendell L. Mott 
Circulation Manager - Victor C. Hopkins 
Literary Editor - G. Norman Anderson 
Advertising Manager - William Dean Howells","Editorial Assistant - Paul Auerswald
Editorial Assistant - Jerry L. Liston
Editorial Assistant - Mary C. Mcllvaine
Editorial Assistant - Bruce W. Nelan
Editorial Assistant - Thomas P. Raynor"
/content/new-balance-power,Credits Vol 14.1,"
Editor-in-Chief - Edward D. Greathed
Associate Editor - Mary C. Mcilvaine
Business Manager - Frank T. Yorichika
Production Manager - Wendell L. Mott
Circulation Manager - Victor C. Hopkins
Literary Editor - G. Norman Anderson
Advertising Manager - William Dean Howells",-,"Editorial Assistant - Wilder K. Abbott
Editorial Assistant - Madeleine A. Adler
Editorial Assistant - Colleen Ashworth
Editorial Assistant - James E. Bylin
Editorial Assistant - Harrie E. Green
Editorial Assistant - Henry Harvey
Editorial Assistant - Linda B. Miller
Editorial Assistant - Bruce W. Nelan
Editorial Assistant - Maurice J. Picard
Editorial Assistant - Thomas P. Raynor
Editorial Assistant - Susan Wieckman
Editorial Assistant - Ian F. H. Wilson"
/content/middle-east,Credits Vol 13.2,"
Editor-in-Chief - Aurelius Fernandez
Associate Editor - Maria Jacobson
Business Manager - Charles B. Mintzer
Production Manager - Thomas W. Robinson
Circulation Manager - Alvin Richman
Book Review Editor - Sylvia Leavy
Advertising Manager - Joachim Lorenz",-,"Editorial Assistant - Gustav Anderson
Editorial Assistant - Arnold Borehgrevink
Editorial Assistant - Evans Gerakas
Editorial Assistant - Edward D. Greathed
Editorial Assistant - Victor Hopkins
Editorial Assistant - William Dean Howells
Editorial Assistant - Ramon H. Hulsey
Editorial Assistant - Bonnie Mcllwaine
Editorial Assistant - Wendell L. Mott
Editorial Assistant - Frank T. Yorichika"
/content/science-and-world-politics,Credits Vol 13.1,"Editor-in-Chief - Aurelius Fernandez
Associate Editor - Maria Jacobson
Business Manager - Charles B. Mintzer
Production Manager - Thomas W. Robinson
Circulation Manager - Alvin Richman
Book Review Editor - Sylvia Leavy
Advertising Manager - Joachim Lorenz",-,"Editorial Assistant - Gustav Anderson
Editorial Assistant - Michael Bradfield
Editorial Assistant - Evans Gerakas
Editorial Assistant - Edward D. Greathed
Editorial Assistant - Ramon H. Hulsey
Editorial Assistant - Robert Siegel
Editorial Assistant - Frank T. Yorichika"
/content/design-international-relations,Credits Vol 12.2,"
Editor-in-Chief - Richard D. Dodson
Associate Editor - Christine Dodson
Business Manager - Joseph C. Guardiano","Production Manager - Peter M. Herford
Advertising Manager - Robert Siegel
Circulation Manager - Randolph T. Major, Jr.
Book Review Editor - Janet Guardiano","Editorial Assistant - Beverly Bruhn
Editorial Assistant - Aurelius A. Fernández, Jr.
Editorial Assistant - Maria Jacobson
Editorial Assistant - Joachim Kratz
Editorial Assistant - Sylvia Leavy
Editorial Assistant - Michael M. Milenkovitch
Editorial Assistant - Charles B. Mintzer
Editorial Assistant - Alvin Richman
Editorial Assistant - Edward J. Shanahan, Jr.
Editorial Assistant - William I. Stewart"
/content/western-alliance,Credits Vol 12.1,"
Editor-in-Chief - Richard D. Dodson
Associate Editor - Christine Dodson
Business Manager - Joseph C. Guardiano","Production Manager - Peter M. Herford 
Advertising Manager - Robert Siegel 
Circulation Manager - Randolph T. Major, Jr. 
Book Review Editor - Janet Guardiano","Editorial Assistant - Frank Brecher
Editorial Assistant - Beverly Bruhn
Editorial Assistant - Aurelius A. Fernández, Jr.
Editorial Assistant - Maria Jacobson
Editorial Assistant - Joachim Kratz
Editorial Assistant - Charles B. Mintzer
Editorial Assistant - Pushpa Nand
Editorial Assistant - Alvin Richman
Editorial Assistant - Edward J. Shanahan, Jr.
Editorial Assistant - William I. Stewart
Editorial Assistant - Daniel Zivanovic"
/content/communist-china-world-politics,Credits Vol 11.2,"Editor-in-Chief - R. Laurence Garufi
Associate Editor - Alan F. Lee
Business Manager - Lawrence Ziring
Editor - Ann Bandler
Editor - Robert R. Cohoes
Editor - Lynn F. Lee
Editor - Walter J. Kossmann, Jr.
Editor - Robert A. Macdonald
Editor - Melvin Mendelson
Editor - Patricia Noble",-,"Editorial Assistant - Richard D. Dodson
Editorial Assistant - Joseph C. Guardiano
Editorial Assistant - Peter M. Herford
Editorial Assistant - Takashi Konami
Editorial Assistant - Joachim W. Kratz
Editorial Assistant - Randolph T. Major, Jr.
Editorial Assistant - Michael Milenkovitch
Editorial Assistant - Edward J. Shanahan, Jr.
Editorial Assistant - Marc Sickel
Editorial Assistant - Robert Siegal
Editorial Assistant - Christine Sifneou
Editorial Assistant - Janet Wassum"
/content/east-central-europe-1,Credits Vol 11.1,"Editor-in-Chief - R. Laurence Garufi
Associate Editor - Alan F. Lee
Business Manager - Lawrence Ziring
Editor - Ann Bandler
Editor - Robert Cameron
Editor - Robert R. Cohoes
Editor - Walter J. Kosssmann Jr.
Editor - Lynn F. Lee
Editor - Robert A. Macdonald
Editor - Melvin Mendelson
Editor - Patricia Noble",-,"Editorial Assistant - Richard D. Dodson
Editorial Assistant - Joseph C. Guardiano
Editorial Assistant - Peter M. Herford
Editorial Assistant - Joachim W. Kratz
Editorial Assistant - Randolph T. Major, Jr.
Editorial Assistant - Edward J. Shanahan, Jr.
Editorial Assistant - Marc Sickel
Editorial Assistant - Janet Wassum"
/content/press-world-affairs,Credits Vol 10.2,"
Editor-in-Chief - John F. Kruse
Associate Editor - Elizabeth Stabler
Business Manager - Andrew Levchenko
Editor - J. Randolph Blocker
Editor - Robert Cameron
Editor - Рamela Cheatham
Editor - Elizabeth G. Korbonski
Editor - Benjamin Raab
Editor - Gabriella Rosner",-,"Editorial Assistant - Ann Bandler
Editorial Assistant - Robert Cohoes
Editorial Assistant - Lynn Fisher
Editorial Assistant - Laurence Garufi
Editorial Assistant - Herbert Gilner
Editorial Assistant - Juanita Gundles
Editorial Assistant - Walter Kossman
Editorial Assistant - Alan Lee
Editorial Assistant - Robert Macdonald
Editorial Assistant - Patricia Noble
Editorial Assistant - Margaret Sahlin
Editorial Assistant - Lawrence Ziring"
/content/southeast-asia-transition,Credits Vol 10.1,"
Editor-in-Chief - John F. Kruse
Associate Editor - Elizabeth Stabler
Вusiness Manаger - Andrew Levchenko
Editor - J. Randolph Blocker
Editor - Рamela Cheatham
Editor - Elizabetii G. Korbonski
Editor - Benjamin Raab
Editor - Gabriella Rosner",-,"Editorial Assistant - Ann Bandler
Editorial Assistant - Robert Cameron
Editorial Assistant - Robert Cohoes
Editorial Assistant - Ernest Eastman
Editorial Assistant - Emile D'Elia
Editorial Assistant - Margaret Forbes
Editorial Assistant - Harold Grant
Editorial Assistant - Juanita Gundles"
